6,3,39.99883165,35350.9,218613.2684
5,3,40.07318611,34290.9,252244.7309
4,3,18.10131178,33761.65,320473.0919
3,3,84.74723424,33785.55,405810.1561
2,3,120.226802,32761.65,658976.7774
6,4,15.8123425,33946.35,182575.3024
5,4,10.67846489,31382.4,229775.1701
4,4,23.80752419,32804.75,332596.0283
3,4,31.03675349,30245.85,363689.8094
2,4,88.01162226,33218.05,609781.4564
6,5,59.81521204,37265.85,330906.1359
5,5,58.38172651,36901.8,287323.1736
4,5,34.26483924,37159.3,364057.7626
3,5,168.1996122,37860.25,668241.5957
2,5,108.0736574,36009.4,679103.9105
6,6,35.70780041,32749.95,184679.7458
5,6,50.56634408,32954.4,253246.5749
4,6,65.71838736,33222.35,331926.7513
3,6,57.68358996,31023.3,365644.8142
2,6,41.02630883,30332.35,379136.0489
